PRICE_LIST	LIST_PRICE	DISCOUNT_TYPE	DISCOUNT_RATE	COMMISSION_POINTS	COMMISSION_VOLUME	PRODUCT_NUMBER	PRODUCT_CLASS	CATEGORY_NAME	PRODUCT_DESCRIPTION	IMAGE_FILENAME_LARGE	PRODUCT_LONG_DESCRIPTION	EOL:EOL
Customer	75		0%	75	75	63606	Core Products	Past Features	Team U.S.A. Basket & Protector Set	63606.jpg	CELEBRATE AMERICA! Show your American pride with our Team USA Basket and Protector Set. Available for a limited time to coincide with the summer games, this beautiful basket features Bold Red, White, Navy Blue and Warm Brown – the Team U.S.A Basket is a true winner! Made in the U.S.A. Includes Basket<br />(10 3/4"l x 7 3/4"w x 5 1/4"h; Rec. Wt. Use: 10 lbs.) and Protector.	EOL:EOL
Employee	29	P	25%	29	29	71701	Showroom Products	Tabletop	NR - Wrought Iron Beverage Carousel	71701.jpg	Now you can keep all of your single-serve beverage cups smartly organized and accessible. This carousel has the capacity to display 24 standard-sized single-serve assorted coffees and teas for your family or guests. It features a lazy-Susan base that rotates for quick access to every cup. The sleek and modern appearance is sure to accentuate any kitchen décor. 7 ½”d x 13”h <ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $39</li>	EOL:EOL
Consultant	29	P	20%	29	29	71701	Showroom Products	Tabletop	NR - Wrought Iron Beverage Carousel	71701.jpg	Now you can keep all of your single-serve beverage cups smartly organized and accessible. This carousel has the capacity to display 24 standard-sized single-serve assorted coffees and teas for your family or guests. It features a lazy-Susan base that rotates for quick access to every cup. The sleek and modern appearance is sure to accentuate any kitchen décor. 7 ½”d x 13”h <ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $39</li>	EOL:EOL
Customer	29	P	0%	29	29	71701	Showroom Products	Tabletop	NR - Wrought Iron Beverage Carousel	71701.jpg	Now you can keep all of your single-serve beverage cups smartly organized and accessible. This carousel has the capacity to display 24 standard-sized single-serve assorted coffees and teas for your family or guests. It features a lazy-Susan base that rotates for quick access to every cup. The sleek and modern appearance is sure to accentuate any kitchen décor. 7 ½”d x 13”h <ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $39</li>	EOL:EOL
Consultant	22	P	20%	22	22	71672	Showroom Products	Tabletop	NR - Wrought Iron Medium Tray	71672.jpg	The black wrought iron Medium Tray is made with our signature scroll and twist design elements and coordinate beautifully with other Longaberger Foundry pieces and fit into any décor. Pair this tray with any of these pieces to make it work even harder: Woven Traditions Luncheon Plate, Longaberger Flameware® 2 1/4 Quart Dutch Oven and 4 Quart Dutch Oven. Inside Diameter: 9"; Handle to Handle: 14"l x 2 1/2"h <ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $30</li>	EOL:EOL
Employee	22	P	25%	22	22	71672	Showroom Products	Tabletop	NR - Wrought Iron Medium Tray	71672.jpg	The black wrought iron Medium Tray is made with our signature scroll and twist design elements and coordinate beautifully with other Longaberger Foundry pieces and fit into any décor. Pair this tray with any of these pieces to make it work even harder: Woven Traditions Luncheon Plate, Longaberger Flameware® 2 1/4 Quart Dutch Oven and 4 Quart Dutch Oven. Inside Diameter: 9"; Handle to Handle: 14"l x 2 1/2"h <ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $30</li>	EOL:EOL
Customer	22		%	22	22	71672	Showroom Products	Tabletop	NR - Wrought Iron Medium Tray	71672.jpg	The black wrought iron Medium Tray is made with our signature scroll and twist design elements and coordinate beautifully with other Longaberger Foundry pieces and fit into any décor. Pair this tray with any of these pieces to make it work even harder: Woven Traditions Luncheon Plate, Longaberger Flameware® 2 1/4 Quart Dutch Oven and 4 Quart Dutch Oven. Inside Diameter: 9"; Handle to Handle: 14"l x 2 1/2"h <ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $30</li>	EOL:EOL
Employee	7	P	25%	7	7	90471	Showroom Products	Tabletop	NR - 10" KnifeSafe™	90471.jpg	<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $10</li>	EOL:EOL
Consultant	7	P	20%	7	7	90471	Showroom Products	Tabletop	NR - 10" KnifeSafe™	90471.jpg	<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $10</li>	EOL:EOL
Customer	7	P	0%	7	7	90471	Showroom Products	Tabletop	NR - 10" KnifeSafe™	90471.jpg	<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $10</li>	EOL:EOL
Employee	108	P	25%	108	108	90463	Showroom Products	Tabletop	NR - Chef Knife	90463.jpg	Our knives are a quality that's a cut above. Every Longaberger knife is touched by the skilled, experienced hands of master cutlery artisans. Each knife is made in America with a unique maple handle, treated to last longer than traditional wood handles, joined to the blade with copper rivets and carefully smoothed and shaped to fit your hand with balance. You won't find a knife that feels better in your hand, retains its edge longer or cuts cleaner. 14 3/4"l (9 1/4" blade; 5 1/2" handle). Easy to use KnifeSafe completely covers 8" and 10" long blades, protecting people as well as knife blades. Made of nontoxic, food grade, clear polypropylene. Locking tabs clamp tight, and rubber pads hold the knife securely in place for safe storage and transportation. Dishwasher safe. Made in the U.S.A.<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $145</li>	EOL:EOL
Consultant	108	P	20%	108	108	90463	Showroom Products	Tabletop	NR - Chef Knife	90463.jpg	Our knives are a quality that's a cut above. Every Longaberger knife is touched by the skilled, experienced hands of master cutlery artisans. Each knife is made in America with a unique maple handle, treated to last longer than traditional wood handles, joined to the blade with copper rivets and carefully smoothed and shaped to fit your hand with balance. You won't find a knife that feels better in your hand, retains its edge longer or cuts cleaner. 14 3/4"l (9 1/4" blade; 5 1/2" handle). Easy to use KnifeSafe completely covers 8" and 10" long blades, protecting people as well as knife blades. Made of nontoxic, food grade, clear polypropylene. Locking tabs clamp tight, and rubber pads hold the knife securely in place for safe storage and transportation. Dishwasher safe. Made in the U.S.A.<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $145</li>	EOL:EOL
Customer	108	P	0%	108	108	90463	Showroom Products	Tabletop	NR - Chef Knife	90463.jpg	Our knives are a quality that's a cut above. Every Longaberger knife is touched by the skilled, experienced hands of master cutlery artisans. Each knife is made in America with a unique maple handle, treated to last longer than traditional wood handles, joined to the blade with copper rivets and carefully smoothed and shaped to fit your hand with balance. You won't find a knife that feels better in your hand, retains its edge longer or cuts cleaner. 14 3/4"l (9 1/4" blade; 5 1/2" handle). Easy to use KnifeSafe completely covers 8" and 10" long blades, protecting people as well as knife blades. Made of nontoxic, food grade, clear polypropylene. Locking tabs clamp tight, and rubber pads hold the knife securely in place for safe storage and transportation. Dishwasher safe. Made in the U.S.A.<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $145</li>	EOL:EOL
Employee	15	P	25%	15	15	32215	Showroom Products	Tabletop	NR - Silicone Splatter Guard Black	32215.jpg	The perfect companion for your Flameware® cookware. Easy to clean, durable and comfortable to use. The splatter screen is designed to keep stove top and counters clean. Available in black only; stain resistant silicone and stainless steel frame; 18/10 Stainless steel frame provides strength. Dishwasher safe; heat resistant up to 500 degrees Fahrenheit. 13"d w/5 5/8" handle.<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Basket Original Price $30</li>	EOL:EOL
Consultant	15	P	20%	15	15	32215	Showroom Products	Tabletop	NR - Silicone Splatter Guard Black	32215.jpg	The perfect companion for your Flameware® cookware. Easy to clean, durable and comfortable to use. The splatter screen is designed to keep stove top and counters clean. Available in black only; stain resistant silicone and stainless steel frame; 18/10 Stainless steel frame provides strength. Dishwasher safe; heat resistant up to 500 degrees Fahrenheit. 13"d w/5 5/8" handle.<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Basket Original Price $30</li>	EOL:EOL
Customer	15	P	0%	15	15	32215	Showroom Products	Tabletop	NR - Silicone Splatter Guard Black	32215.jpg	The perfect companion for your Flameware® cookware. Easy to clean, durable and comfortable to use. The splatter screen is designed to keep stove top and counters clean. Available in black only; stain resistant silicone and stainless steel frame; 18/10 Stainless steel frame provides strength. Dishwasher safe; heat resistant up to 500 degrees Fahrenheit. 13"d w/5 5/8" handle.<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Basket Original Price $30</li>	EOL:EOL
Employee	28	P	25%	28	28	71685	Showroom Products	Tabletop	NR - Wrought Iron 9" x 13" Carrier	71685.jpg	Share more food with more friends with the 9” x 13” Carrier. Now food can be even more portable. Great for buffets because it makes it easy to serve appetizers, main entrees, sides, and desserts. The dark and modern look is sure to complement any home. 21"l x 10 1/4"w x 3"h<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $38</li>	EOL:EOL
Consultant	28	P	20%	28	28	71685	Showroom Products	Tabletop	NR - Wrought Iron 9" x 13" Carrier	71685.jpg	Share more food with more friends with the 9” x 13” Carrier. Now food can be even more portable. Great for buffets because it makes it easy to serve appetizers, main entrees, sides, and desserts. The dark and modern look is sure to complement any home. 21"l x 10 1/4"w x 3"h<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $38</li>	EOL:EOL
Customer	28	P	0%	28	28	71685	Showroom Products	Tabletop	NR - Wrought Iron 9" x 13" Carrier	71685.jpg	Share more food with more friends with the 9” x 13” Carrier. Now food can be even more portable. Great for buffets because it makes it easy to serve appetizers, main entrees, sides, and desserts. The dark and modern look is sure to complement any home. 21"l x 10 1/4"w x 3"h<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $38</li>	EOL:EOL
Consultant	30	P	20%	30	30	71673	Showroom Products	Tabletop	NR - Wrought Iron Large Tray	71673.jpg	The black wrought iron Large Tray is made with our signature scroll and twist design elements and coordinate beautifully with other Longaberger Foundry pieces and fit into any décor. Pair this tray with any of these pieces to make it work even harder -- Woven Traditions® Dinner Plate, Grandma Bonnie's™ Pie Plate & Lid, 8-in-1 Entertainer, Longaberger Flameware 10 1/2" Lidded Braiser. Inside diameter: 10"; handle to handle: 16"l x 3"h <ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $40</li>	EOL:EOL
Employee	30	P	25%	30	30	71673	Showroom Products	Tabletop	NR - Wrought Iron Large Tray	71673.jpg	The black wrought iron Large Tray is made with our signature scroll and twist design elements and coordinate beautifully with other Longaberger Foundry pieces and fit into any décor. Pair this tray with any of these pieces to make it work even harder -- Woven Traditions® Dinner Plate, Grandma Bonnie's™ Pie Plate & Lid, 8-in-1 Entertainer, Longaberger Flameware 10 1/2" Lidded Braiser. Inside diameter: 10"; handle to handle: 16"l x 3"h <ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $40</li>	EOL:EOL
Customer	30		%	30	30	71673	Showroom Products	Tabletop	NR - Wrought Iron Large Tray	71673.jpg	The black wrought iron Large Tray is made with our signature scroll and twist design elements and coordinate beautifully with other Longaberger Foundry pieces and fit into any décor. Pair this tray with any of these pieces to make it work even harder -- Woven Traditions® Dinner Plate, Grandma Bonnie's™ Pie Plate & Lid, 8-in-1 Entertainer, Longaberger Flameware 10 1/2" Lidded Braiser. Inside diameter: 10"; handle to handle: 16"l x 3"h <ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $40</li>	EOL:EOL
Consultant	9	P	20%	9	9	24283360	Showroom Products	Tabletop	NR - 19" Fabric Square Plaid Tidings	24283360.jpg	Celebrate the season with Plaid Tidings! Gives a fresh, new look to an old-time favorite holiday design. It’s a wonderful design that extends beyond the holiday season. It’s a beautiful all-around winter fabric. Fabric Squares come in four sizes, designed to bring unlimited uses for your baskets and around your home. Gone are the days when fabric was just for the table, or the drapes. Our fabric squares allow you to bring personality to any task and work great with Woven Traditions® Pottery too! 19" square; 100% cotton 	EOL:EOL
Employee	9	P	25%	9	9	24283360	Showroom Products	Tabletop	NR - 19" Fabric Square Plaid Tidings	24283360.jpg	Celebrate the season with Plaid Tidings! Gives a fresh, new look to an old-time favorite holiday design. It’s a wonderful design that extends beyond the holiday season. It’s a beautiful all-around winter fabric. Fabric Squares come in four sizes, designed to bring unlimited uses for your baskets and around your home. Gone are the days when fabric was just for the table, or the drapes. Our fabric squares allow you to bring personality to any task and work great with Woven Traditions® Pottery too! 19" square; 100% cotton 	EOL:EOL
Customer	9		%	9	9	24283360	Showroom Products	Tabletop	NR - 19" Fabric Square Plaid Tidings	24283360.jpg	Celebrate the season with Plaid Tidings! Gives a fresh, new look to an old-time favorite holiday design. It’s a wonderful design that extends beyond the holiday season. It’s a beautiful all-around winter fabric. Fabric Squares come in four sizes, designed to bring unlimited uses for your baskets and around your home. Gone are the days when fabric was just for the table, or the drapes. Our fabric squares allow you to bring personality to any task and work great with Woven Traditions® Pottery too! 19" square; 100% cotton 	EOL:EOL
Consultant	22	P	20%	22	22	2036027	Showroom Products	Tabletop	NR - Set of 2 Placemats Paprika	2036027.jpg	Placemats give your table pizzazz. You can mix and match for even more options on your tabletop. Set a beautiful table for every meal, and then put the placemats away to make room for homework or crafts. These quality placemats are 100% cotton and stain resistant for easy care and long-lasting enjoyment. Set of 2; 19"l x 13"w	EOL:EOL
Employee	22	P	25%	22	22	2036027	Showroom Products	Tabletop	NR - Set of 2 Placemats Paprika	2036027.jpg	Placemats give your table pizzazz. You can mix and match for even more options on your tabletop. Set a beautiful table for every meal, and then put the placemats away to make room for homework or crafts. These quality placemats are 100% cotton and stain resistant for easy care and long-lasting enjoyment. Set of 2; 19"l x 13"w	EOL:EOL
Customer	22		%	22	22	2036027	Showroom Products	Tabletop	NR - Set of 2 Placemats Paprika	2036027.jpg	Placemats give your table pizzazz. You can mix and match for even more options on your tabletop. Set a beautiful table for every meal, and then put the placemats away to make room for homework or crafts. These quality placemats are 100% cotton and stain resistant for easy care and long-lasting enjoyment. Set of 2; 19"l x 13"w	EOL:EOL
Consultant	22	P	20%	22	22	20360360	Showroom Products	Tabletop	NR - Set of 2 Placemats Plaid Tidings	20360360.jpg	Celebrate the season with Plaid Tidings! Gives a fresh, new look to an old-time favorite holiday design. It’s a wonderful design that extends beyond the holiday season. It’s a beautiful all-around winter fabric. Mix and match for even more options and a beautiful table for every meal. These quality placemats are 100% cotton and stain resistant for easy care and long-lasting enjoyment. Set of 2; 19"l x 13"w	EOL:EOL
Employee	22	P	25%	22	22	20360360	Showroom Products	Tabletop	NR - Set of 2 Placemats Plaid Tidings	20360360.jpg	Celebrate the season with Plaid Tidings! Gives a fresh, new look to an old-time favorite holiday design. It’s a wonderful design that extends beyond the holiday season. It’s a beautiful all-around winter fabric. Mix and match for even more options and a beautiful table for every meal. These quality placemats are 100% cotton and stain resistant for easy care and long-lasting enjoyment. Set of 2; 19"l x 13"w	EOL:EOL
Customer	22		%	22	22	20360360	Showroom Products	Tabletop	NR - Set of 2 Placemats Plaid Tidings	20360360.jpg	Celebrate the season with Plaid Tidings! Gives a fresh, new look to an old-time favorite holiday design. It’s a wonderful design that extends beyond the holiday season. It’s a beautiful all-around winter fabric. Mix and match for even more options and a beautiful table for every meal. These quality placemats are 100% cotton and stain resistant for easy care and long-lasting enjoyment. Set of 2; 19"l x 13"w	EOL:EOL
Employee	21	P	25%	21	21	71670	Showroom Products	Tabletop	NR - Set of 3 Wrought Iron Stands	71670.jpg	A great addition to your table or buffet, this Set of 3 Wrought Iron Stands works with many of our Woven Traditions® Pottery pieces. You'll find a new way to use them every day! Bottom Tier: 5"d x 2 1/4"h; Middle Tier: 4"d x 4"h; Top Tier: 3 1/2"d x 3 1/2"h<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $28</li>	EOL:EOL
Consultant	21	P	20%	21	21	71670	Showroom Products	Tabletop	NR - Set of 3 Wrought Iron Stands	71670.jpg	A great addition to your table or buffet, this Set of 3 Wrought Iron Stands works with many of our Woven Traditions® Pottery pieces. You'll find a new way to use them every day! Bottom Tier: 5"d x 2 1/4"h; Middle Tier: 4"d x 4"h; Top Tier: 3 1/2"d x 3 1/2"h<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $28</li>	EOL:EOL
Customer	21	P	0%	21	21	71670	Showroom Products	Tabletop	NR - Set of 3 Wrought Iron Stands	71670.jpg	A great addition to your table or buffet, this Set of 3 Wrought Iron Stands works with many of our Woven Traditions® Pottery pieces. You'll find a new way to use them every day! Bottom Tier: 5"d x 2 1/4"h; Middle Tier: 4"d x 4"h; Top Tier: 3 1/2"d x 3 1/2"h<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $28</li>	EOL:EOL
Employee	31	P	25%	31	31	71663	Showroom Products	Tabletop	Wrought Iron Medium Elevated Server	71663.jpg	Tastefully inviting tables are easily set with our Foundry Medium Elevated Server. It's not just elegant looking -- it makes smart use of space on a festive table and the optional WoodCrafts Shelf make the possibilities endless. Pair with these products to make this stand work even harder: Small Fill-It Hurricane, Longaberger Flameware ® 2 1/4 Quart Lidded Dutch Oven, Woven Traditions® Dinner Plate, 6" Pie Plate and much more. 8 3/4"d x 5 1/4"h	EOL:EOL
Consultant	31	P	20%	31	31	71663	Showroom Products	Tabletop	Wrought Iron Medium Elevated Server	71663.jpg	Tastefully inviting tables are easily set with our Foundry Medium Elevated Server. It's not just elegant looking -- it makes smart use of space on a festive table and the optional WoodCrafts Shelf make the possibilities endless. Pair with these products to make this stand work even harder: Small Fill-It Hurricane, Longaberger Flameware ® 2 1/4 Quart Lidded Dutch Oven, Woven Traditions® Dinner Plate, 6" Pie Plate and much more. 8 3/4"d x 5 1/4"h	EOL:EOL
Customer	31	P	0%	31	31	71663	Showroom Products	Tabletop	Wrought Iron Medium Elevated Server	71663.jpg	Tastefully inviting tables are easily set with our Foundry Medium Elevated Server. It's not just elegant looking -- it makes smart use of space on a festive table and the optional WoodCrafts Shelf make the possibilities endless. Pair with these products to make this stand work even harder: Small Fill-It Hurricane, Longaberger Flameware ® 2 1/4 Quart Lidded Dutch Oven, Woven Traditions® Dinner Plate, 6" Pie Plate and much more. 8 3/4"d x 5 1/4"h	EOL:EOL
Consultant	8	P	20%	8	8	24275363	Showroom Products	Tabletop	NR - 16" Fabric Square Denim	24275363.jpg	It's hip to be square! Available in May only, this soft dark denim fabric with orange/gold stitchingis available in four sizes of Fabric Squares, designed to bring unlimited uses for your baskets and around your home. Gone are the days when fabric was just for the table, or the drapes. Our fabric squares allow you to bring personality to any task and work great with Woven Traditions® Pottery too! 16" square; 100% cotton	EOL:EOL
Employee	8	P	25%	8	8	24275363	Showroom Products	Tabletop	NR - 16" Fabric Square Denim	24275363.jpg	It's hip to be square! Available in May only, this soft dark denim fabric with orange/gold stitchingis available in four sizes of Fabric Squares, designed to bring unlimited uses for your baskets and around your home. Gone are the days when fabric was just for the table, or the drapes. Our fabric squares allow you to bring personality to any task and work great with Woven Traditions® Pottery too! 16" square; 100% cotton	EOL:EOL
Customer	8		%	8	8	24275363	Showroom Products	Tabletop	NR - 16" Fabric Square Denim	24275363.jpg	It's hip to be square! Available in May only, this soft dark denim fabric with orange/gold stitchingis available in four sizes of Fabric Squares, designed to bring unlimited uses for your baskets and around your home. Gone are the days when fabric was just for the table, or the drapes. Our fabric squares allow you to bring personality to any task and work great with Woven Traditions® Pottery too! 16" square; 100% cotton	EOL:EOL
Consultant	8	P	20%	8	8	24275164	Showroom Products	Tabletop	NR - 16" Fabric Square - Khaki Check	24275164.jpg	It's hip to be square! Longaberger's exclusive fabrics come in four square sizes, designed to bring unlimited uses for your baskets and around your home. Gone are the days when fabric was just for the table, or the drapes. Our fabric squares allow you to bring personality to any task and work great with Woven Traditions® Pottery too! 16" square; 100% cotton	EOL:EOL
Employee	8	P	25%	8	8	24275164	Showroom Products	Tabletop	NR - 16" Fabric Square - Khaki Check	24275164.jpg	It's hip to be square! Longaberger's exclusive fabrics come in four square sizes, designed to bring unlimited uses for your baskets and around your home. Gone are the days when fabric was just for the table, or the drapes. Our fabric squares allow you to bring personality to any task and work great with Woven Traditions® Pottery too! 16" square; 100% cotton	EOL:EOL
Customer	8		%	8	8	24275164	Showroom Products	Tabletop	NR - 16" Fabric Square - Khaki Check	24275164.jpg	It's hip to be square! Longaberger's exclusive fabrics come in four square sizes, designed to bring unlimited uses for your baskets and around your home. Gone are the days when fabric was just for the table, or the drapes. Our fabric squares allow you to bring personality to any task and work great with Woven Traditions® Pottery too! 16" square; 100% cotton	EOL:EOL
Consultant	9	P	20%	9	9	24283356	Showroom Products	Tabletop	NR - Easter Egg Petals 19" Fabric Square	24283356.jpg	It's hip to be square! Longaberger’s exclusive Easter Petal fabric now comes in a versatile 19" square size and is designed to bring unlimited uses for your baskets, pottery and around your home. Gone are the days when fabric was just for the table, or the drapes. Our new fabric squares allow you to bring personality to your Easter décor. A great value and the possibilities are endless! The 19" square is also the perfect napkin size! 100% cotton.	EOL:EOL
Employee	9	P	25%	9	9	24283356	Showroom Products	Tabletop	NR - Easter Egg Petals 19" Fabric Square	24283356.jpg	It's hip to be square! Longaberger’s exclusive Easter Petal fabric now comes in a versatile 19" square size and is designed to bring unlimited uses for your baskets, pottery and around your home. Gone are the days when fabric was just for the table, or the drapes. Our new fabric squares allow you to bring personality to your Easter décor. A great value and the possibilities are endless! The 19" square is also the perfect napkin size! 100% cotton.	EOL:EOL
Customer	9		%	9	9	24283356	Showroom Products	Tabletop	NR - Easter Egg Petals 19" Fabric Square	24283356.jpg	It's hip to be square! Longaberger’s exclusive Easter Petal fabric now comes in a versatile 19" square size and is designed to bring unlimited uses for your baskets, pottery and around your home. Gone are the days when fabric was just for the table, or the drapes. Our new fabric squares allow you to bring personality to your Easter décor. A great value and the possibilities are endless! The 19" square is also the perfect napkin size! 100% cotton.	EOL:EOL
Employee	5	P	25%	5	5	90445	Showroom Products	Tabletop	GARLIC ROSEMARY SEASON BLEND			EOL:EOL
Consultant	5	P	20%	5	5	90445	Showroom Products	Tabletop	GARLIC ROSEMARY SEASON BLEND			EOL:EOL
Customer	5	P	0%	5	5	90445	Showroom Products	Tabletop	GARLIC ROSEMARY SEASON BLEND			EOL:EOL
Employee	44	P	25%	44	44	71664	Showroom Products	Tabletop	NR - Wrought Iron Large Elevated Server	71664.jpg	Crafted to fit with the Woven Traditions® 8-in-1 Entertainer, Grandma Bonnie's™ Pie Plate, Dinner Plate, Flameware® 4 Quart Lidded Dutch Oven and much more. 12 3/8"d x 8 1/4"h<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $59</li>	EOL:EOL
Consultant	44	P	20%	44	44	71664	Showroom Products	Tabletop	NR - Wrought Iron Large Elevated Server	71664.jpg	Crafted to fit with the Woven Traditions® 8-in-1 Entertainer, Grandma Bonnie's™ Pie Plate, Dinner Plate, Flameware® 4 Quart Lidded Dutch Oven and much more. 12 3/8"d x 8 1/4"h<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $59</li>	EOL:EOL
Customer	44	P	0%	44	44	71664	Showroom Products	Tabletop	NR - Wrought Iron Large Elevated Server	71664.jpg	Crafted to fit with the Woven Traditions® 8-in-1 Entertainer, Grandma Bonnie's™ Pie Plate, Dinner Plate, Flameware® 4 Quart Lidded Dutch Oven and much more. 12 3/8"d x 8 1/4"h<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $59</li>	EOL:EOL
Employee	15	P	25%	15	15	32216	Showroom Products	Tabletop	NR - Silicone Slotted Spoon Black	32216.jpg	The perfect companion for your Flameware® cookware and Woven Traditions® Pottery. Easy to clean, durable and comfortable to use. Stainless Steel and silicone molded for strength and durability. Available in black only; dishwasher safe; stain and heat resistant up to 600 degrees Fahrenheit, BPA free; 12"l x 2 1/2"w.	EOL:EOL
Consultant	15	P	20%	15	15	32216	Showroom Products	Tabletop	NR - Silicone Slotted Spoon Black	32216.jpg	The perfect companion for your Flameware® cookware and Woven Traditions® Pottery. Easy to clean, durable and comfortable to use. Stainless Steel and silicone molded for strength and durability. Available in black only; dishwasher safe; stain and heat resistant up to 600 degrees Fahrenheit, BPA free; 12"l x 2 1/2"w.	EOL:EOL
Customer	15	P	0%	15	15	32216	Showroom Products	Tabletop	NR - Silicone Slotted Spoon Black	32216.jpg	The perfect companion for your Flameware® cookware and Woven Traditions® Pottery. Easy to clean, durable and comfortable to use. Stainless Steel and silicone molded for strength and durability. Available in black only; dishwasher safe; stain and heat resistant up to 600 degrees Fahrenheit, BPA free; 12"l x 2 1/2"w.	EOL:EOL
Employee	15	P	25%	15	15	32217	Showroom Products	Tabletop	NR - Silicone Tongs Black	32217.jpg	The perfect companion for your Flameware® cookware and Woven Traditions® Pottery. Easy to clean, durable and comfortable to use. Oversized ring for easy lock and unlocking; resting foot to keep counters clean. Stainless steel and silicone co molded for strength and durability. Available in black only; dishwasher safe. Silicone is stain and heat resistant up to 600 degrees Fahrenheit; BPA free. 13"l	EOL:EOL
Consultant	15	P	20%	15	15	32217	Showroom Products	Tabletop	NR - Silicone Tongs Black	32217.jpg	The perfect companion for your Flameware® cookware and Woven Traditions® Pottery. Easy to clean, durable and comfortable to use. Oversized ring for easy lock and unlocking; resting foot to keep counters clean. Stainless steel and silicone co molded for strength and durability. Available in black only; dishwasher safe. Silicone is stain and heat resistant up to 600 degrees Fahrenheit; BPA free. 13"l	EOL:EOL
Customer	15	P	0%	15	15	32217	Showroom Products	Tabletop	NR - Silicone Tongs Black	32217.jpg	The perfect companion for your Flameware® cookware and Woven Traditions® Pottery. Easy to clean, durable and comfortable to use. Oversized ring for easy lock and unlocking; resting foot to keep counters clean. Stainless steel and silicone co molded for strength and durability. Available in black only; dishwasher safe. Silicone is stain and heat resistant up to 600 degrees Fahrenheit; BPA free. 13"l	EOL:EOL
Employee	20	P	25%	20	20	32218	Showroom Products	Tabletop	NR - Silicone Turner Black	32218.jpg	The perfect companions for your Flameware® cookware and Woven Traditions® Pottery. Easy to clean, durable, comfortable to use and tapered edge to slide under food easily. Available in black only; dishwasher safe; Stainless Steel and silicone molded for strength and durability; Silicone is stain and heat resistant up to 600 degrees farenheit, BPA free; 13"l x 3 1/4"w	EOL:EOL
Consultant	20	P	20%	20	20	32218	Showroom Products	Tabletop	NR - Silicone Turner Black	32218.jpg	The perfect companions for your Flameware® cookware and Woven Traditions® Pottery. Easy to clean, durable, comfortable to use and tapered edge to slide under food easily. Available in black only; dishwasher safe; Stainless Steel and silicone molded for strength and durability; Silicone is stain and heat resistant up to 600 degrees farenheit, BPA free; 13"l x 3 1/4"w	EOL:EOL
Customer	20	P	0%	20	20	32218	Showroom Products	Tabletop	NR - Silicone Turner Black	32218.jpg	The perfect companions for your Flameware® cookware and Woven Traditions® Pottery. Easy to clean, durable, comfortable to use and tapered edge to slide under food easily. Available in black only; dishwasher safe; Stainless Steel and silicone molded for strength and durability; Silicone is stain and heat resistant up to 600 degrees farenheit, BPA free; 13"l x 3 1/4"w	EOL:EOL
Employee	5	P	25%	5	5	90470	Showroom Products	Tabletop	NR - 4 1/2" KnifeSafe™	90470.jpg	<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $7</li>	EOL:EOL
Consultant	5	P	20%	5	5	90470	Showroom Products	Tabletop	NR - 4 1/2" KnifeSafe™	90470.jpg	<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $7</li>	EOL:EOL
Customer	5	P	0%	5	5	90470	Showroom Products	Tabletop	NR - 4 1/2" KnifeSafe™	90470.jpg	<ul style="list-style: disc; padding-left: 20px; padding-top: 10px;"><li>Original Price $7</li>	EOL:EOL
